beta,beta_eq1,beta_eq3,beta_eq4,beta_eq5,beta_eq7,beta_eq8,beta_eq9,beta_eq11,beta_eq13,beta_eq15,beta_eq16,beta_eq17,beta_eq32
60,0,-4.083759117019497,1,-5.088079828707812,-4.831193003830471,3,-4.083759117019497,-4.101881270846633,-3.795934415164915,-9.171838945727309,7,-3.3061406670494833,15
70,0,-4.510911468017682,1,-5.62028194901437,-5.336525319125869,3,-4.510911468017682,-4.5309291598505155,-4.192980926286268,-10.131193417032044,7,-3.6519558138771515,15
80,0,-4.925944266570269,1,-6.137383949905342,-5.827519889391041,3,-4.925944266570269,-4.947803714491826,-4.57876207505241,-11.063328216475611,7,-3.9879591809061736,15
90,0,-5.330679806429188,1,-6.641656282652633,-6.3063325354207365,3,-5.3306798064292025,-5.354335315162004,-4.954971719345082,-11.972336089081821,7,-4.315626065603439,15
100,0,-5.7265183165667395,1,-7.134843535167775,-6.774619764423335,3,-5.7265183165667395,-5.751930404511455,-5.322911399532515,-12.861361851734515,7,-4.636090069098614,15
110,0,-6.114561726599476,1,-7.6183186351123595,-7.233685187728952,3,-6.114561726599476,-6.1416958020970185,-5.68360538086516,-13.732880361711835,7,-4.950243294528363,15
120,0,-6.4956953358102965,1,-8.09318460381904,-7.684576137361603,3,-6.4956953358102965,-6.524520735819621,-6.037876566437745,-14.588879939629336,7,-5.258802464862313,15
130,0,-6.870643157605656,1,-8.560343511636134,-8.128149139968414,3,-6.87064315760567,-6.901132431979022,-6.386397940950886,-15.43098666924179,7,-5.562353728817371,15
140,0,-7.240006442747216,1,-9.02054447519484,-8.565115490802071,3,-7.240006442747216,-7.27213480945673,-6.729728378812382,-16.26055091794204,7,-5.861383848598962,15
150,0,-7.60429116807299,1,-9.474417906443932,-8.996073773591462,3,-7.6042911680730185,-7.638036090421593,-7.0683381954443405,-17.07870907451695,7,-6.156302454293694,15
160,0,-7.963928095757467,1,-9.922500505092728,-9.421533591166678,3,-7.963928095757467,-7.9992689486050494,-7.402627792759745,-17.886428600850195,7,-6.447458283498946,15
170,0,-8.319287707267364,1,-10.36525386528129,-9.841933232716457,3,-8.319287707267392,-8.35620550952828,-7.7329415405683335,-18.684541572548653,7,-6.735151271594987,15
180,0,-8.670691522221773,1,-10.803078578092794,-10.257653064293152,3,-8.670691522221802,-8.709168719590878,-8.059578297679309,-19.473770100314596,7,-7.0196417152980075,15
190,0,-9.018420815622022,1,-11.236325092615914,-10.669025841522057,3,-9.018420815622022,-9.058441101984528,-8.382799514738338,-20.254745908237936,7,-7.301157329978537,15
200,0,-9.362723428505092,1,-11.66530220154496,-11.07634476678109,3,-9.362723428505092,-9.404271597569505,-8.70283556486362,-21.028025630050024,7,-7.5798987634485115,15
210,0,-9.703819158262064,1,-12.09028375714206,-11.479869866087398,3,-9.703819158262064,-9.746880979113314,-9.019890754052966,-21.794102915404153,7,-7.856043959869766,15
220,0,-10.041904075001355,1,-12.511514049125367,-11.879833095467006,3,-10.041904075001355,-10.086466186808138,-9.334147333328247,-22.553418124126722,7,-8.129751654206927,15
230,0,-10.377154014813556,1,-12.929212157034073,-12.276442473577788,3,-10.377154014813584,-10.423203837037562,-9.64576874579393,-23.30636617184763,7,-8.401164200314213,15
240,0,-10.70972743437838,1,-13.343575506870252,-12.669885458783568,3,-10.709727434378408,-10.757253089651186,-9.954902280050106,-24.05330294124863,7,-8.670409881975644,15
250,0,-11.039767764408225,1,-13.754782803325696,-13.060331733339012,3,-11.039767764408225,-11.088758011851752,-10.261681257764877,-24.79455056773392,7,-8.937604818212321,15
260,0,-11.367405365734783,1,-14.16299646692994,-13.447935517490663,3,-11.367405365734783,-11.417849542962273,-10.566226851895152,-25.530401832664722,7,-9.202854546896333,15
270,0,-11.692759167331758,1,-14.568364674912601,-13.832837507300553,3,-11.692759167331758,-11.744647139717529,-10.868649609260899,-26.26112384224433,7,-9.466255350865424,15
280,0,-12.015938047497173,1,-14.971023082060356,-14.215166508620428,3,-12.015938047497173,-12.06926016357562,-11.169050734381585,-26.98696112955753,7,-9.727895376104243,15
290,0,-12.337042005941669,1,-15.371096281057419,-14.595040823702789,3,-12.337042005941669,-12.391789058007419,-11.46752317895482,-27.708138286999088,7,-9.987855580647079,15
300,0,-12.65616316436325,1,-15.768699049132522,-14.972569434906916,3,-12.65616316436325,-12.712326353511742,-11.764152571910756,-28.424862213495715,7,-10.246210544625342,15
310,0,-12.973386625344745,1,-16.163937418184673,-15.347853020796606,3,-12.973386625344745,-13.030957530323803,-12.059018017773838,-29.137324043529418,7,-10.50302916561651,15
320,0,-13.288791213449827,1,-16.55690959813802,-15.720984832876013,3,-13.288791213449827,-13.347761762800587,-12.352192785526256,-29.845700811587847,7,-10.758375258622436,15
330,0,-13.602450117770388,1,-16.947706777510575,-16.09205145574009,3,-13.602450117770445,-13.662812564818978,-12.643744905868402,-30.550156895280963,7,-11.01230807626456,15
340,0,-13.91443145155614,1,-17.336413820674068,-16.461133469130573,3,-13.914431451556197,-13.976178351889075,-12.933737691405327,-31.250845272230208,7,-11.264882761850345,15
350,0,-14.224798741702955,1,-17.723109877722436,-16.82830602701381,3,-14.224798741702955,-14.287922932814752,-13.222230191636243,-31.94790861942539,7,-11.516150745654784,15
360,0,-14.53361135860655,1,-18.10786892003938,-17.193639366108584,3,-14.533611358606606,-14.598105941454719,-13.50927759251158,-32.641480278645986,7,-11.766160092922064,15
370,0,-14.840924895072362,1,-18.49076021239398,-17.5571992541461,3,-14.840924895072362,-14.906783217313944,-13.794931568637367,-33.33168510746634,7,-12.014955810624883,15
380,0,-15.146791501509483,1,-18.871848730568843,-17.91904738641375,3,-15.146791501509483,-15.214007142224887,-14.07924059484452,-34.018640232078326,7,-12.262580118831465,15
390,0,-15.45126018345212,1,-19.251195532051213,-18.279241737730047,3,-15.451260183452177,-15.51982693918967,-14.362250222740897,-34.70245571550333,7,-12.509072691573692,15
400,0,-15.754377066485347,1,-19.628858086111904,-18.637836875859023,3,-15.754377066485404,-15.82428893848089,-14.644003326964878,-35.38323515259725,7,-12.754470871326475,15
410,0,-16.05618563285975,1,-20.004890568610904,-18.994884241431407,3,-16.05618563285981,-16.127436815306623,-14.9245403251237,-36.061076201470655,7,-12.998809860567007,15
420,0,-16.35672693342832,1,-20.379344126055912,-19.350432398671558,3,-16.356726933428376,-16.429311802687835,-15.2038993747924,-36.73607105948423,7,-13.242122893354974,15
430,0,-16.65603977799765,1,-20.75226711276673,-19.704527260587724,3,-16.656039777997705,-16.72995288265406,-15.482116550449632,-37.40830689076438,7,-13.484441389437848,15
440,0,-16.954160906736718,1,-21.123705304438488,-20.057212291753217,3,-16.954160906736718,-17.029396958413088,-15.759226002805008,-38.077866211175206,7,-13.725795093020224,15
450,0,-17.251125144910816,1,-21.493702090929617,-20.408528691360402,3,-17.251125144910816,-17.327679009771373,-16.035260102627433,-38.74482723584043,7,-13.966212198033816,15
460,0,-17.546965542893076,1,-21.862298650706407,-20.758515558858505,3,-17.546965542893076,-17.624832233766824,-16.310249570888914,-39.40926419359948,7,-14.205719461488457,15
470,0,-17.841713503140852,1,-22.229534109046597,-21.107210044169335,3,-17.84171350314091,-17.920888172208947,-16.58422359679099,-40.071247612187506,7,-14.444342306269846,15
480,0,-18.13539889559877,1,-22.595445681823662,-21.454647484212387,3,-18.135398895598826,-18.215876827593547,-16.857209945034697,-40.73084457742243,7,-14.682104914567901,15
490,0,-18.428050162800332,1,-22.96006880645615,-21.800861527242944,3,-18.428050162800332,-18.509826768671303,-17.12923505351438,-41.38811896925648,7,-14.91903031296522,15
500,0,-18.71969441577727,1,-23.323437261403967,-22.145884246315063,3,-18.71969441577727,-18.802765226782242,-17.40032412246717,-42.043131677181236,7,-15.155140450083707,15
510,0,-19.010357521746585,1,-23.68558327542047,-22.489746243017635,3,-19.010357521746585,-19.094718183932173,-17.670501195979966,-42.695940797167054,7,-15.390456267574336,15
520,0,-19.300064184426105,1,-24.046537627619784,-22.83247674248986,3,-19.300064184426105,-19.385710453464412,-17.939789236644458,-43.34660181204589,7,-15.624997765139199,15
530,0,-19.5888380177272,1,-24.4063297392932,-23.17410368060166,3,-19.5888380177272,-19.67576575407992,-18.20821019405554,-43.9951677570204,7,-15.858784060192079,15
540,0,-19.87670161348433,1,-24.76498775829498,-23.514653784079428,3,-19.87670161348433,-19.964906777866872,-18.475785067767674,-44.64168937177931,7,-16.091833442690927,15
550,0,-20.163676603804447,1,-25.122538636726176,-23.854152644266946,3,-20.163676603804447,-20.253155252927513,-18.74253396524989,-45.28621524053051,7,-16.324163425615097,15
560,0,-20.44978371855359,1,-25.479008202557793,-24.192624785133944,3,-20.44978371855359,-20.540532001118777,-19.008476155320295,-45.92879192111138,7,-16.55579079150516,15
570,0,-20.735042838438858,1,-25.83442122576821,-24.530093726072323,3,-20.735042838438858,-20.827056991370682,-19.27363011748696,-46.56946406420707,7,-16.786731635437036,15
580,0,-21.01947304409373,1,-26.18880147949983,-24.86658203996717,3,-21.019473044093843,-21.11274938898964,-19.53801358757414,-47.20827452359367,7,-17.017001404761572,15
590,0,-21.303092661532787,1,-26.542171796691946,-25.202111406968697,3,-21.303092661532787,-21.39762760131339,-19.80164359997275,-47.84526445822462,7,-17.246614935902585,15
600,0,-21.58591930429793,1,-26.894554122592808,-25.53670266435438,3,-21.58591930429793,-21.68170932004648,-20.06453652681637,-48.48047342689074,7,-17.47558648847871,15
610,0,-21.867969912591093,1,-27.24596956351604,-25.87037585282269,3,-21.867969912591207,-21.965011560564903,-20.32670811435605,-49.113939476107134,7,-17.703929776984182,15
620,0,-22.149260789652317,1,-27.59643843216452,-26.20315025952948,3,-22.14926078965243,-22.24755069845594,-20.58817351677385,-49.74569922181695,7,-17.931658000239622,15
630,0,-22.42980763561843,1,-27.945980289816816,-26.535044458143943,3,-22.42980763561843,-22.529342503527687,-20.84894732765565,-50.37578792543525,7,-18.158783868803994,15
640,0,-22.70962557907444,1,-28.294613985637852,-26.866076346175078,3,-22.70962557907444,-22.810402171500186,-21.109043609318974,-51.00423956471229,7,-18.385319630517984,15
650,0,-22.988729206488756,1,-28.642357693352437,-27.19626317979305,3,-22.988729206488756,-23.090744353570813,-21.36847592017284,-51.63108689984108,7,-18.611277094333445,15
660,0,-23.267132589702328,1,-28.989228945495938,-27.52562160635125,3,-23.267132589702328,-23.370383184025968,-21.627257340270376,-52.256361535198266,7,-18.83666765256953,15
670,0,-23.544849311630514,1,-29.33524466543622,-27.85416769479093,3,-23.544849311630514,-23.649332306056976,-21.88540049519861,-52.880093977066736,7,-19.0615023017192,15
680,0,-23.821892490316714,1,-29.68042119734264,-28.18191696409758,3,-23.821892490316714,-23.92760489591967,-22.142917578436595,-53.50231368765935,7,-19.285791661922985,15
690,0,-24.098274801466346,1,-30.024774334262816,-28.50888440995982,3,-24.098274801466346,-24.205213685569674,-22.399820372302088,-54.12304913572905,7,-19.509545995212875,15
700,0,-24.374008499578963,1,-30.36831934445081,-28.83508452976855,3,-24.374008499578963,-24.48217098388716,-22.656120267593224,-54.742327844029774,7,-19.73277522261924,15
710,0,-24.649105437782964,1,-30.711070996080252,-29.160531346082394,3,-24.649105437782964,-24.758488696600352,-22.911828282026136,-55.36017643386322,7,-19.95548894022977,15
720,0,-24.923577086470573,1,-31.05304358046203,-29.4852384286728,3,-24.923577086470573,-25.034178345002488,-23.166955077555826,-55.976620666932604,7,-20.177696434275163,15
730,0,-25.197434550820503,1,-31.39425093387638,-29.809218915254405,3,-25.197434550820503,-25.30925108355291,-23.421510976664308,-56.59168548469688,7,-20.399406695316088,15
740,0,-25.470688587289942,1,-31.73470645812074,-30.132485530995154,3,-25.470688587289942,-25.583717716441583,-23.67550597769025,-57.20539504541068,7,-20.620628431593786,15
750,0,-25.74334961914849,1,-32.07442313986451,-30.45505060689368,3,-25.743349619148603,-25.857588713192968,-23.928949769267774,-57.817772759012996,7,-20.84137008160701,15
760,0,-26.015427751123184,1,-32.41341356889427,-30.77692609710391,3,-26.015427751123184,-26.130874223374576,-24.18185174393909,-58.42884132001734,7,-21.061639825967518,15
770,0,-26.286932783213956,1,-32.751689955328516,-31.0981235952803,3,-26.286932783213956,-26.403584090475306,-24.43422101099702,-59.03862273854247,7,-21.281445598585947,15
780,0,-26.557874223739873,1,-33.089264145871766,-31.418654350011025,3,-26.557874223739873,-26.67572786500841,-24.686066408611396,-59.64713836961164,7,-21.500795097232526,15
790,0,-26.82826130166586,1,-33.42614763917197,-31.73852927940095,3,-26.82826130166586,-26.947314816893368,-24.93739651528631,-60.254408940837834,7,-21.71969579351753,15
800,0,-27.09810297825868,1,-33.76235160034457,-32.057758984861266,3,-27.09810297825868,-27.218353947163564,-25.188219660695495,-60.86045457860337,7,-21.9381549423274,15
810,0,-27.36740795811761,1,-34.097886874714845,-32.37635376415892,3,-27.367407958117724,-27.488853999046,-25.4385439359354,-61.465294832832456,7,-22.156179590754846,15
820,0,-27.636184699619434,1,-34.43276400083164,-32.69432362377279,3,-27.636184699619434,-27.75882346845242,-25.688377203233244,-62.068948700451074,7,-22.373776586555323,15
830,0,-27.904441424815786,1,-34.7669932227999,-33.01167829060364,3,-27.904441424815786,-28.02827061392088,-25.937727105148042,-62.67143464761568,7,-22.59095258615946,15
840,0,-28.17218612881902,1,-35.10058450197312,-33.32842722307669,3,-28.17218612881902,-28.297203466042788,-26.186601073293673,-63.27277063079214,7,-22.807714062271657,15
850,0,-28.43942658870685,1,-35.43354752804953,-33.64457962167671,3,-28.43942658870685,-28.565629836407766,-26.435006336617107,-63.87297411675638,7,-23.024067311079648,15
860,0,-28.706170371977464,1,-35.76589172960553,-33.96014443895058,3,-28.706170371977578,-28.833557326095615,-26.68294992925678,-64.47206210158299,7,-23.24001845909868,15
