   r,   rd, expe_gap, pred_gap
  3,   6,0.07949,0.11552
  4,   8,0.06706,0.08664
  5,  10,0.05061,0.06931
  6,  12,0.05182,0.05776
  7,  14,0.04016,0.04951
  8,  16,0.03773,0.04332
  9,  18,0.03467,0.03851
 10,  20,0.03240,0.03466
 11,  22,0.02816,0.03151
 12,  24,0.02545,0.02888
 13,  26,0.02488,0.02666
 14,  28,0.02111,0.02476
 15,  30,0.02205,0.02310
 16,  32,0.01840,0.02166
 17,  34,0.02011,0.02039
 18,  36,0.01949,0.01925
 19,  38,0.01813,0.01824
 20,  40,0.01850,0.01733
 21,  42,0.01590,0.01650
 22,  44,0.01648,0.01575
 23,  46,0.01594,0.01507
 24,  48,0.01490,0.01444
 25,  50,0.01542,0.01386
 26,  52,0.01235,0.01333
 27,  54,0.01177,0.01284
 28,  56,0.01399,0.01238
 29,  58,0.01244,0.01195
 30,  60,0.01095,0.01155
 31,  62,0.01232,0.01118
 32,  64,0.01152,0.01083
 33,  66,0.00997,0.01050
 34,  68,0.01009,0.01019
