beta,  beta_eq3,  beta_eq4,  beta_eq5,  beta_eq7,  beta_eq8,  beta_eq9, beta_eq15, beta_eq16
  70,   -11.949,     4.640,   -10.727,    -4.325,     9.601,    -0.194,   -21.128,    17.109
  80,   -11.689,     4.114,   -10.910,    -5.124,     8.773,    -1.319,   -20.050,    15.962
  90,   -11.772,     3.759,   -11.301,    -5.962,     8.189,    -2.379,   -20.235,    15.202
 100,   -12.008,     3.500,   -11.798,    -6.656,     7.728,    -3.052,   -20.871,    14.614
 110,   -12.318,     3.302,   -12.309,    -7.398,     7.397,    -3.903,   -21.687,    14.128
 120,   -12.673,     3.145,   -12.864,    -8.055,     7.115,    -4.477,   -22.543,    13.706
 130,   -13.056,     3.017,   -13.429,    -8.729,     6.886,    -5.206,   -23.463,    13.325
 140,   -13.457,     2.911,   -13.985,    -9.369,     6.698,    -5.742,   -24.422,    13.049
 150,   -13.870,     2.821,   -14.562,    -9.989,     6.527,    -6.367,   -25.407,    12.836
 160,   -14.285,     2.744,   -15.124,   -10.623,     6.395,    -6.910,   -26.408,    12.624
 170,   -14.703,     2.676,   -15.683,   -11.199,     6.260,    -7.493,   -27.419,    12.412
 180,   -15.124,     2.617,   -16.256,   -11.822,     6.163,    -8.012,   -28.437,    12.209
 190,   -15.547,     2.565,   -16.804,   -12.370,     6.051,    -8.546,   -29.422,    12.099
 200,   -15.971,     2.518,   -17.357,   -12.954,     5.978,    -9.066,   -30.383,    11.976
 210,   -16.390,     2.476,   -17.918,   -13.509,     5.887,    -9.559,   -31.349,    11.840
 220,   -16.808,     2.438,   -18.451,   -14.060,     5.827,   -10.083,   -32.317,    11.693
 230,   -17.226,     2.403,   -18.995,   -14.622,     5.752,   -10.542,   -33.287,    11.615
 240,   -17.643,     2.371,   -19.537,   -15.144,     5.701,   -11.035,   -34.258,    11.537
 250,   -18.059,     2.342,   -20.062,   -15.701,     5.638,   -11.501,   -35.230,    11.443
 260,   -18.469,     2.315,   -20.598,   -16.208,     5.595,   -11.963,   -36.201,    11.335
 270,   -18.878,     2.290,   -21.121,   -16.738,     5.541,   -12.439,   -37.130,    11.269
 280,   -19.286,     2.266,   -21.640,   -17.255,     5.502,   -12.874,   -38.051,    11.216
 290,   -19.693,     2.245,   -22.167,   -17.761,     5.456,   -13.338,   -38.974,    11.148
 300,   -20.097,     2.224,   -22.674,   -18.287,     5.422,   -13.771,   -39.897,    11.065
 310,   -20.497,     2.205,   -23.186,   -18.771,     5.381,   -14.210,   -40.821,    11.007
