embedding, algorithm, seed, blocksize
Kan,		BKZ,	 0, 	63
Kan,		BKZ,	 10, 	62
Kan,		BKZ,	 11, 	62
Kan,		BKZ,	 12, 	62
Kan,		BKZ,	 13, 	64
Kan,		BKZ,	 14, 	59
Kan,		BKZ,	 15, 	60
Kan,		BKZ,	 16, 	61
Kan,		BKZ,	 17, 	60
Kan,		BKZ,	 18, 	58
Kan,		BKZ,	 19, 	53
Kan,		BKZ,	 1, 	67
Kan,		BKZ,	 20, 	61
Kan,		BKZ,	 21, 	66
Kan,		BKZ,	 22, 	64
Kan,		BKZ,	 23, 	62
Kan,		BKZ,	 24, 	63
Kan,		BKZ,	 25, 	63
Kan,		BKZ,	 26, 	66
Kan,		BKZ,	 27, 	53
Kan,		BKZ,	 28, 	65
Kan,		BKZ,	 29, 	58
Kan,		BKZ,	 2, 	67
Kan,		BKZ,	 3, 	56
Kan,		BKZ,	 4, 	60
Kan,		BKZ,	 5, 	67
Kan,		BKZ,	 6, 	58
Kan,		BKZ,	 7, 	59
Kan,		BKZ,	 8, 	66
Kan,		BKZ,	 9, 	58
mKan,		BKZ,	 0, 	62
mKan,		BKZ,	 10, 	68
mKan,		BKZ,	 11, 	64
mKan,		BKZ,	 12, 	64
mKan,		BKZ,	 13, 	66
mKan,		BKZ,	 14, 	68
mKan,		BKZ,	 15, 	64
mKan,		BKZ,	 16, 	69
mKan,		BKZ,	 17, 	64
mKan,		BKZ,	 18, 	66
mKan,		BKZ,	 19, 	65
mKan,		BKZ,	 1, 	61
mKan,		BKZ,	 20, 	63
mKan,		BKZ,	 21, 	62
mKan,		BKZ,	 22, 	65
mKan,		BKZ,	 23, 	68
mKan,		BKZ,	 24, 	62
mKan,		BKZ,	 25, 	65
mKan,		BKZ,	 26, 	69
mKan,		BKZ,	 27, 	64
mKan,		BKZ,	 28, 	63
mKan,		BKZ,	 29, 	62
mKan,		BKZ,	 2, 	61
mKan,		BKZ,	 3, 	61
mKan,		BKZ,	 4, 	66
mKan,		BKZ,	 5, 	67
mKan,		BKZ,	 6, 	68
mKan,		BKZ,	 7, 	63
mKan,		BKZ,	 8, 	67
mKan,		BKZ,	 9, 	63
mKan,		mBKZ,	 0, 	56
mKan,		mBKZ,	 10, 	56
mKan,		mBKZ,	 11, 	48
mKan,		mBKZ,	 12, 	56
mKan,		mBKZ,	 13, 	56
mKan,		mBKZ,	 14, 	48
mKan,		mBKZ,	 15, 	56
mKan,		mBKZ,	 16, 	48
mKan,		mBKZ,	 17, 	48
mKan,		mBKZ,	 18, 	56
mKan,		mBKZ,	 19, 	48
mKan,		mBKZ,	 1, 	48
mKan,		mBKZ,	 20, 	56
mKan,		mBKZ,	 21, 	56
mKan,		mBKZ,	 22, 	64
mKan,		mBKZ,	 23, 	48
mKan,		mBKZ,	 24, 	64
mKan,		mBKZ,	 25, 	56
mKan,		mBKZ,	 26, 	48
mKan,		mBKZ,	 27, 	48
mKan,		mBKZ,	 28, 	56
mKan,		mBKZ,	 29, 	56
mKan,		mBKZ,	 2, 	56
mKan,		mBKZ,	 3, 	48
mKan,		mBKZ,	 4, 	56
mKan,		mBKZ,	 5, 	56
mKan,		mBKZ,	 6, 	56
mKan,		mBKZ,	 7, 	56
mKan,		mBKZ,	 8, 	56
mKan,		mBKZ,	 9, 	48
