  i, ellQ, ellK
  0, 1.648998, 1.470354
  1, 1.521916, 
  2, 1.573164, 
  3, 1.462450, 
  4, 1.504692, 
  5, 1.387386, 
  6, 1.402524, 
  7, 1.261716, 
  8, 1.511124, 1.310332
  9, 1.367284, 
 10, 1.422486, 
 11, 1.278646, 
 12, 1.348404, 
 13, 1.204564, 
 14, 1.246986, 
 15, 1.103146, 
 16, 1.352038, 1.174226
 17, 1.208196, 
 18, 1.295000, 
 19, 1.158012, 
 20, 1.213550, 
 21, 1.093178, 
 22, 1.100302, 
 23, 0.973536, 
 24, 1.225486, 1.041488
 25, 1.081644, 
 26, 1.158750, 
 27, 1.014910, 
 28, 1.086562, 
 29, 0.950340, 
 30, 0.975216, 
 31, 0.838992, 
 32, 1.083384, 0.902024
 33, 0.939542, 
 34, 1.015344, 
 35, 0.871504, 
 36, 0.949094, 
 37, 0.816908, 
 38, 0.836308, 
 39, 0.704122, 
 40, 0.908676, 0.733924
 41, 0.764836, 
 42, 0.846280, 
 43, 0.721676, 
 44, 0.772078, 
 45, 0.664578, 
 46, 0.660012, 
 47, 0.533270, 
 48, 0.755606, 0.569190
 49, 0.626422, 
 50, 0.665104, 
 51, 0.595020, 
 52, 0.570190, 
 53, 0.494642, 
 54, 0.487706, 
 55, 0.358846, 
 56, 0.609426, 0.418480
 57, 0.465582, 
 58, 0.538708, 
 59, 0.410158, 
 60, 0.450124, 
 61, 0.339112, 
 62, 0.330512, 
 63, 0.204210, 
 64, 0.448624, 0.272292
 65, 0.326932, 
 66, 0.373328, 
 67, 0.271588, 
 68, 0.313952, 
 69, 0.198766, 
 70, 0.192352, 
 71, 0.052788, 
 72, 0.276902, 0.082528
 73, 0.153678, 
 74, 0.203060, 
 75, 0.084748, 
 76, 0.091764, 
 77, 0.014214, 
 78, -0.021092, 
 79, -0.143080, 
 80, 0.109794, -0.068248
 81, -0.015350, 
 82, 0.025136, 
 83, -0.049448, 
 84, -0.074312, 
 85, -0.135912, 
 86, -0.142750, 
 87, -0.263122, 
 88, -0.042056, -0.218168
 89, -0.172670, 
 90, -0.108144, 
 91, -0.211634, 
 92, -0.201654, 
 93, -0.283856, 
 94, -0.300968, 
 95, -0.424374, 
 96, -0.210234, -0.403100
 97, -0.334528, 
 98, -0.293314, 
 99, -0.401144, 
100, -0.375502, 
101, -0.490992, 
102, -0.493574, 
103, -0.625526, 
104, -0.340766, -0.527092
105, -0.474034, 
106, -0.428756, 
107, -0.543910, 
108, -0.492474, 
109, -0.618198, 
110, -0.587372, 
111, -0.731216, 
112, -0.512980, -0.694178
113, -0.656820, 
114, -0.583306, 
115, -0.689024, 
116, -0.681854, 
117, -0.766538, 
118, -0.770750, 
119, -0.892148, 
120, -0.639754, -0.844598
121, -0.734808, 
122, -0.761434, 
123, -0.817084, 
124, -0.859290, 
125, -0.918742, 
126, -0.949202, 
127, -1.076480, 
128, -0.807362, -0.993372
129, -0.951204, 
130, -0.881698, 
131, -0.970760, 
132, -1.009004, 
133, -1.076298, 
134, -1.062920, 
135, -1.187712, 
136, -0.979974, -1.170050
137, -1.123816, 
138, -1.057212, 
139, -1.143598, 
140, -1.187396, 
141, -1.255720, 
142, -1.243452, 
143, -1.369230, 
144, -1.217750, -1.405346
145, -1.361592, 
146, -1.292518, 
147, -1.404522, 
148, -1.387976, 
149, -1.499984, 
150, -1.467284, 
151, -1.611128, 
152, -1.395948, -1.650686
153, -1.539788, 
154, -1.515866, 
155, -1.660770, 
156, -1.635322, 
157, -1.780228, 
158, -1.766866, 
159, -1.910708, 
