  i, ellQ, ellK 
  0, 1.90924, 1.88494
  1, 1.89124, 
  2, 1.88915, 
  3, 1.88602, 
  4, 1.88524, 
  5, 1.87833, 
  6, 1.87589, 
  7, 1.86442, 
  8, 1.68645, 1.66221
  9, 1.68597, 
 10, 1.67420, 
 11, 1.65956, 
 12, 1.65872, 
 13, 1.65280, 
 14, 1.64217, 
 15, 1.63779, 
 16, 1.53782, 1.50459
 17, 1.53423, 
 18, 1.50933, 
 19, 1.50765, 
 20, 1.50571, 
 21, 1.49785, 
 22, 1.47216, 
 23, 1.47201, 
 24, 1.35319, 1.31779
 25, 1.34702, 
 26, 1.34649, 
 27, 1.31717, 
 28, 1.31538, 
 29, 1.29072, 
 30, 1.29049, 
 31, 1.28187, 
 32, 1.11996, 1.08356
 33, 1.11068, 
 34, 1.08610, 
 35, 1.08443, 
 36, 1.08292, 
 37, 1.08249, 
 38, 1.06333, 
 39, 1.03861, 
 40, 0.96623, 0.92198
 41, 0.93865, 
 42, 0.93804, 
 43, 0.92589, 
 44, 0.92397, 
 45, 0.91432, 
 46, 0.89623, 
 47, 0.87246, 
 48, 0.77432, 0.67974
 49, 0.72687, 
 50, 0.72538, 
 51, 0.69344, 
 52, 0.67787, 
 53, 0.62324, 
 54, 0.62163, 
 55, 0.59517, 
 56, 0.56821, 0.54105
 57, 0.56764, 
 58, 0.55327, 
 59, 0.53732, 
 60, 0.53711, 
 61, 0.52819, 
 62, 0.51835, 
 63, 0.51828, 
 64, 0.41002, 0.40862
 65, 0.40864, 
 66, 0.40862, 
 67, 0.40862, 
 68, 0.40862, 
 69, 0.40862, 
 70, 0.40859, 
 71, 0.40724, 
 72, 0.17244, 0.15075
 73, 0.17027, 
 74, 0.16082, 
 75, 0.14820, 
 76, 0.14819, 
 77, 0.13872, 
 78, 0.13420, 
 79, 0.13320, 
 80, -0.03183, -0.03464
 81, -0.03183, 
 82, -0.03391, 
 83, -0.03473, 
 84, -0.03473, 
 85, -0.03536, 
 86, -0.03735, 
 87, -0.03736, 
 88, -0.23914, -0.25646
 89, -0.23968, 
 90, -0.24926, 
 91, -0.25422, 
 92, -0.25451, 
 93, -0.26408, 
 94, -0.27538, 
 95, -0.27540, 
 96, -0.49014, -0.50930
 97, -0.50053, 
 98, -0.50830, 
 99, -0.50917, 
100, -0.50925, 
101, -0.50934, 
102, -0.52048, 
103, -0.52717, 
104, -0.64549, -0.66404
105, -0.64561, 
106, -0.65246, 
107, -0.66105, 
108, -0.66117, 
109, -0.67543, 
110, -0.68543, 
111, -0.68569, 
112, -0.86674, -0.88536
113, -0.87390, 
114, -0.87937, 
115, -0.88415, 
116, -0.88418, 
117, -0.88844, 
118, -0.89978, 
119, -0.90629, 
120, -1.07354, -1.11903
121, -1.11578, 
122, -1.07368, 
123, -1.11778, 
124, -1.12167, 
125, -1.16360, 
126, -1.12224, 
127, -1.16398, 
128, -1.21186, -1.31346
129, -1.24145, 
130, -1.29314, 
131, -1.30570, 
132, -1.31594, 
133, -1.32272, 
134, -1.34428, 
135, -1.47259, 
136, -1.40541, -1.45454
137, -1.44908, 
138, -1.45367, 
139, -1.45376, 
140, -1.45482, 
141, -1.45912, 
142, -1.46841, 
143, -1.49206, 
144, -1.68374, -1.74355
145, -1.69829, 
146, -1.69932, 
147, -1.73567, 
148, -1.74057, 
149, -1.78020, 
150, -1.79694, 
151, -1.81363, 
152, -2.10836, -2.17486
153, -2.14340, 
154, -2.14023, 
155, -2.18839, 
156, -2.18191, 
157, -2.20200, 
158, -2.20213, 
159, -2.23249, 
