   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  2,  12,-0.04330, -0.09236, 0.00000, -0.02636
  3,  18,-0.03579, -0.05962, 0.00000, -0.00251
  4,  24,-0.03179, -0.04397, 0.00000, -0.00031
  5,  30,-0.02719, -0.03481, 0.00000, -0.00004
  6,  36,-0.02346, -0.02880, 0.00000, -0.00001
  7,  42,-0.02245, -0.02456, 0.00000, -0.00000
  8,  48,-0.02055, -0.02141, 0.00000, -0.00000
  9,  54,-0.01837, -0.01898, 0.00000, -0.00000
 10,  60,-0.01525, -0.01704, 0.00000, -0.00000
 11,  66,-0.01468, -0.01546, 0.00000, -0.00000
 12,  72,-0.01383, -0.01415, 0.00000, -0.00000
