beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04421,	-0.04421,	85.57,	85.57
  2,	  5,	-0.04421,	-0.04421,	0.00,	85.57
  5,	  5,	-0.04421,	-0.04421,	57.33,	142.90
  6,	  5,	-0.04421,	-0.04421,	57.54,	200.44
  7,	  5,	-0.04381,	-0.04381,	59.01,	259.45
  8,	  5,	-0.04320,	-0.04320,	55.02,	314.47
  9,	  5,	-0.04247,	-0.04247,	47.77,	362.24
 10,	  5,	-0.04164,	-0.04164,	41.29,	403.53
 11,	  5,	-0.04074,	-0.04074,	38.06,	441.59
 12,	  5,	-0.03980,	-0.03980,	37.09,	478.68
 13,	  5,	-0.03882,	-0.03882,	37.31,	516.00
 14,	  5,	-0.03787,	-0.03787,	38.11,	554.11
 15,	  5,	-0.03689,	-0.03689,	38.78,	592.89
 16,	  5,	-0.03593,	-0.03593,	40.39,	633.28
 17,	  5,	-0.03505,	-0.03505,	41.67,	674.95
 18,	  5,	-0.03424,	-0.03424,	43.59,	718.53
 19,	  5,	-0.03344,	-0.03344,	45.71,	764.24
 20,	  5,	-0.03268,	-0.03268,	48.02,	812.26
 21,	  5,	-0.03199,	-0.03199,	49.99,	862.24
 22,	  5,	-0.03136,	-0.03136,	53.12,	915.36
 23,	  5,	-0.03075,	-0.03075,	55.36,	970.72
 24,	  5,	-0.03023,	-0.03023,	58.92,	1029.64
 25,	  5,	-0.02985,	-0.02985,	62.31,	1091.95
 26,	  5,	-0.02938,	-0.02938,	66.09,	1158.05
 27,	  5,	-0.02904,	-0.02904,	70.00,	1228.05
 28,	  5,	-0.02876,	-0.02876,	76.05,	1304.10
 29,	  5,	-0.02850,	-0.02850,	83.13,	1387.23
 30,	  5,	-0.02822,	-0.02822,	91.38,	1478.61
 31,	  5,	-0.02801,	-0.02801,	84.63,	1563.24
 32,	  5,	-0.02784,	-0.02784,	89.91,	1653.15
 33,	  5,	-0.02764,	-0.02764,	93.35,	1746.50
 34,	  5,	-0.02752,	-0.02752,	98.08,	1844.58
 35,	  5,	-0.02737,	-0.02737,	103.22,	1947.80
 36,	  5,	-0.02720,	-0.02720,	111.55,	2059.35
 37,	  5,	-0.02709,	-0.02709,	120.17,	2179.52
 38,	  5,	-0.02691,	-0.02691,	129.36,	2308.88
 39,	  5,	-0.02674,	-0.02674,	139.67,	2448.54
 40,	  5,	-0.02657,	-0.02657,	147.66,	2596.20
 41,	  5,	-0.02636,	-0.02636,	289.55,	2885.75
 42,	  5,	-0.02616,	-0.02616,	325.69,	3211.44
 43,	  5,	-0.02596,	-0.02596,	489.96,	3701.40
 44,	  5,	-0.02585,	-0.02585,	545.08,	4246.48
 45,	  5,	-0.02569,	-0.02569,	749.09,	4995.57
 46,	  5,	-0.02550,	-0.02550,	841.72,	5837.28
 47,	  5,	-0.02534,	-0.02534,	1134.89,	6972.18
 48,	  5,	-0.02519,	-0.02519,	1224.83,	8197.00
 49,	  5,	-0.02502,	-0.02502,	1555.61,	9752.61
 50,	  5,	-0.02485,	-0.02485,	1761.19,	11513.81
 51,	  5,	-0.02470,	-0.02470,	2124.06,	13637.87
 52,	  5,	-0.02457,	-0.02457,	2411.70,	16049.56
 53,	  5,	-0.02439,	-0.02439,	2933.00,	18982.56
 54,	  5,	-0.02427,	-0.02427,	3256.50,	22239.06
 55,	  5,	-0.02412,	-0.02412,	3851.28,	26090.34
 56,	  5,	-0.02396,	-0.02396,	4160.24,	30250.58
 57,	  5,	-0.02382,	-0.02382,	4977.92,	35228.50
 58,	  5,	-0.02366,	-0.02366,	5401.91,	40630.41
 59,	  5,	-0.02354,	-0.02354,	6236.45,	46866.86
 60,	  5,	-0.02344,	-0.02344,	6939.63,	53806.49
 61,	  5,	-0.02323,	-0.02323,	7902.08,	61708.57
 62,	  5,	-0.02311,	-0.02311,	8504.64,	70213.21
 63,	  5,	-0.02295,	-0.02295,	9546.62,	79759.83
 64,	  5,	-0.02287,	-0.02287,	10395.91,	90155.73
 65,	  5,	-0.02269,	-0.02269,	11333.35,	101489.09
 66,	  5,	-0.02261,	-0.02261,	12392.61,	113881.70
 67,	  5,	-0.02245,	-0.02245,	13736.67,	127618.37
 68,	  5,	-0.02233,	-0.02233,	14309.90,	141928.27
 69,	  5,	-0.02221,	-0.02221,	16221.77,	158150.04
 70,	  5,	-0.02210,	-0.02210,	17170.00,	175320.03
 71,	  5,	-0.02198,	-0.02198,	19202.81,	194522.84
 72,	  5,	-0.02186,	-0.02186,	21313.14,	215835.99
 73,	  5,	-0.02174,	-0.02174,	23760.55,	239596.54
 74,	  5,	-0.02161,	-0.02161,	26816.34,	266412.88
