beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04484,	-0.04484,	142.99,	142.99
  2,	  5,	-0.04484,	-0.04484,	0.01,	143.00
  5,	  5,	-0.04484,	-0.04484,	100.18,	243.19
  6,	  5,	-0.04474,	-0.04474,	102.28,	345.47
  7,	  5,	-0.04435,	-0.04435,	100.54,	446.01
  8,	  5,	-0.04371,	-0.04371,	93.02,	539.03
  9,	  5,	-0.04295,	-0.04295,	77.73,	616.76
 10,	  5,	-0.04214,	-0.04214,	66.84,	683.60
 11,	  5,	-0.04123,	-0.04123,	63.48,	747.09
 12,	  5,	-0.04024,	-0.04024,	61.71,	808.79
 13,	  5,	-0.03926,	-0.03926,	60.22,	869.01
 14,	  5,	-0.03824,	-0.03824,	59.64,	928.65
 15,	  5,	-0.03726,	-0.03726,	60.26,	988.91
 16,	  5,	-0.03628,	-0.03628,	63.44,	1052.35
 17,	  5,	-0.03538,	-0.03538,	66.22,	1118.56
 18,	  5,	-0.03452,	-0.03452,	69.81,	1188.37
 19,	  5,	-0.03367,	-0.03367,	73.52,	1261.89
 20,	  5,	-0.03288,	-0.03288,	75.03,	1336.92
 21,	  5,	-0.03214,	-0.03214,	80.00,	1416.92
 22,	  5,	-0.03151,	-0.03151,	82.89,	1499.81
 23,	  5,	-0.03091,	-0.03091,	89.33,	1589.14
 24,	  5,	-0.03036,	-0.03036,	94.16,	1683.30
 25,	  5,	-0.02988,	-0.02988,	99.51,	1782.81
 26,	  5,	-0.02955,	-0.02955,	107.21,	1890.02
 27,	  5,	-0.02921,	-0.02921,	113.91,	2003.93
 28,	  5,	-0.02890,	-0.02890,	123.21,	2127.14
 29,	  5,	-0.02857,	-0.02857,	134.02,	2261.16
 30,	  5,	-0.02834,	-0.02834,	149.53,	2410.69
 31,	  5,	-0.02811,	-0.02811,	139.51,	2550.20
 32,	  5,	-0.02792,	-0.02792,	148.98,	2699.18
 33,	  5,	-0.02777,	-0.02777,	158.38,	2857.56
 34,	  5,	-0.02755,	-0.02755,	168.04,	3025.60
 35,	  5,	-0.02742,	-0.02742,	176.82,	3202.41
 36,	  5,	-0.02723,	-0.02723,	190.26,	3392.68
 37,	  5,	-0.02711,	-0.02711,	212.29,	3604.96
 38,	  5,	-0.02697,	-0.02697,	231.88,	3836.85
 39,	  5,	-0.02684,	-0.02684,	251.32,	4088.16
 40,	  5,	-0.02673,	-0.02673,	268.46,	4356.62
 41,	  5,	-0.02646,	-0.02646,	530.79,	4887.41
 42,	  5,	-0.02622,	-0.02622,	564.45,	5451.85
 43,	  5,	-0.02600,	-0.02600,	873.27,	6325.12
 44,	  5,	-0.02582,	-0.02582,	937.85,	7262.97
 45,	  5,	-0.02562,	-0.02562,	1305.49,	8568.47
 46,	  5,	-0.02552,	-0.02552,	1409.79,	9978.26
 47,	  5,	-0.02536,	-0.02536,	1881.47,	11859.72
 48,	  5,	-0.02519,	-0.02519,	2038.01,	13897.74
 49,	  5,	-0.02501,	-0.02501,	2555.29,	16453.03
 50,	  5,	-0.02487,	-0.02487,	2792.05,	19245.08
 51,	  5,	-0.02472,	-0.02472,	3374.38,	22619.46
 52,	  5,	-0.02455,	-0.02455,	3926.28,	26545.74
 53,	  5,	-0.02439,	-0.02439,	3101.88,	29647.63
 54,	  5,	-0.02424,	-0.02424,	3176.01,	32823.64
 55,	  5,	-0.02410,	-0.02410,	3794.37,	36618.01
 56,	  5,	-0.02396,	-0.02396,	4219.38,	40837.39
 57,	  5,	-0.02378,	-0.02378,	4834.81,	45672.20
 58,	  5,	-0.02367,	-0.02367,	5233.59,	50905.79
 59,	  5,	-0.02350,	-0.02350,	6208.23,	57114.02
 60,	  5,	-0.02335,	-0.02335,	6901.40,	64015.42
 61,	  5,	-0.02323,	-0.02323,	7831.87,	71847.29
 62,	  5,	-0.02310,	-0.02310,	8367.13,	80214.42
 63,	  5,	-0.02295,	-0.02295,	9502.76,	89717.18
 64,	  5,	-0.02280,	-0.02280,	10188.78,	99905.96
 65,	  5,	-0.02268,	-0.02268,	11573.39,	111479.36
 66,	  5,	-0.02257,	-0.02257,	11706.06,	123185.42
 67,	  5,	-0.02242,	-0.02242,	13056.45,	136241.87
 68,	  5,	-0.02233,	-0.02233,	13947.25,	150189.12
 69,	  5,	-0.02221,	-0.02221,	14803.30,	164992.42
 70,	  5,	-0.02211,	-0.02211,	15470.24,	180462.65
 71,	  5,	-0.02196,	-0.02196,	16875.54,	197338.20
 72,	  5,	-0.02186,	-0.02186,	19021.46,	216359.66
 73,	  5,	-0.02179,	-0.02179,	21251.53,	237611.19
 74,	  5,	-0.02161,	-0.02161,	23853.91,	261465.10
 75,	  5,	-0.02150,	-0.02150,	25291.81,	286756.92
 76,	  5,	-0.02142,	-0.02142,	28962.00,	315718.91
 77,	  5,	-0.02130,	-0.02130,	32295.60,	348014.52
 78,	  5,	-0.02118,	-0.02118,	36840.76,	384855.28
 79,	  5,	-0.02107,	-0.02107,	40328.34,	425183.61
 80,	  5,	-0.02093,	-0.02093,	40050.27,	465233.89
