beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 12,   3, -0.036656, 0.003738, -0.008893
 16,   4, -0.033484, -0.012959, -0.018628
 20,   5, -0.030386, -0.019392, -0.022690
 24,   6, -0.027886, -0.022239, -0.024412
 28,   7, -0.026182, -0.023489, -0.025030
 32,   8, -0.025190, -0.023937, -0.025088
 36,   9, -0.024590, -0.023956, -0.024848
 40,  10, -0.024142, -0.023736, -0.024448
 44,  11, -0.023658, -0.023383, -0.023964
 48,  12, -0.023182, -0.022956, -0.023440
 52,  13, -0.022650, -0.022492, -0.022901
 56,  14, -0.022182, -0.022013, -0.022362
 60,  15, -0.021684, -0.021530, -0.021833
 64,  16, -0.021260, -0.021053, -0.021318
 68,  17, -0.020778, -0.020587, -0.020820
 72,  18, -0.020304, -0.020134, -0.020341
 76,  19, -0.019906, -0.019696, -0.019881
 80,  20, -0.019516, -0.019274, -0.019440
