beta,  beta_eq3,  beta_eq4,  beta_eq5,  beta_eq7,  beta_eq8,  beta_eq9, beta_eq15, beta_eq16
  70,   -11.915,     4.634,    -8.303,    -0.659,    10.832,     2.908,   -11.024,    20.211
  80,   -11.671,     4.111,    -9.006,    -2.087,     9.891,     1.475,   -12.753,    18.911
  90,   -11.760,     3.756,    -9.711,    -3.183,     9.198,     0.223,   -14.316,    17.929
 100,   -11.999,     3.499,   -10.380,    -4.241,     8.680,    -0.756,   -15.774,    17.147
 110,   -12.311,     3.301,   -11.055,    -5.112,     8.284,    -1.714,   -17.158,    16.494
 120,   -12.668,     3.144,   -11.725,    -6.008,     7.938,    -2.502,   -18.488,    15.928
 130,   -13.052,     3.017,   -12.357,    -6.755,     7.686,    -3.295,   -19.776,    15.545
 140,   -13.454,     2.910,   -12.996,    -7.541,     7.449,    -3.989,   -21.029,    15.202
 150,   -13.867,     2.821,   -13.628,    -8.232,     7.262,    -4.676,   -22.255,    14.880
 160,   -14.282,     2.743,   -14.231,    -8.941,     7.091,    -5.320,   -23.414,    14.573
 170,   -14.701,     2.676,   -14.841,    -9.602,     6.944,    -5.931,   -24.536,    14.294
 180,   -15.122,     2.617,   -15.441,   -10.252,     6.815,    -6.548,   -25.643,    14.114
 190,   -15.546,     2.565,   -16.021,   -10.896,     6.695,    -7.101,   -26.739,    13.929
 200,   -15.970,     2.518,   -16.610,   -11.498,     6.595,    -7.688,   -27.823,    13.737
 210,   -16.389,     2.476,   -17.182,   -12.133,     6.494,    -8.208,   -28.898,    13.540
 220,   -16.807,     2.438,   -17.744,   -12.696,     6.415,    -8.749,   -29.963,    13.409
 230,   -17.225,     2.403,   -18.315,   -13.297,     6.328,    -9.268,   -31.021,    13.292
 240,   -17.642,     2.371,   -18.863,   -13.856,     6.265,    -9.770,   -32.071,    13.163
 250,   -18.058,     2.342,   -19.412,   -14.422,     6.188,   -10.291,   -33.066,    13.021
 260,   -18.468,     2.315,   -19.967,   -14.984,     6.136,   -10.760,   -34.054,    12.910
 270,   -18.877,     2.290,   -20.496,   -15.521,     6.069,   -11.259,   -35.038,    12.832
 280,   -19.285,     2.266,   -21.033,   -16.085,     6.026,   -11.724,   -36.019,    12.739
 290,   -19.692,     2.245,   -21.567,   -16.596,     5.966,   -12.194,   -36.996,    12.632
 300,   -20.096,     2.224,   -22.087,   -17.137,     5.929,   -12.667,   -37.971,    12.535
 310,   -20.496,     2.205,   -22.614,   -17.652,     5.876,   -13.110,   -38.943,    12.480
 320,   -20.895,     2.187,   -23.130,   -18.168,     5.843,   -13.579,   -39.908,    12.411
 330,   -21.293,     2.170,   -23.641,   -18.690,     5.797,   -14.012,   -40.831,    12.328
 340,   -21.689,     2.154,   -24.160,   -19.185,     5.767,   -14.457,   -41.752,    12.240
 350,   -22.083,     2.139,   -24.660,   -19.705,     5.725,   -14.899,   -42.673,    12.201
 360,   -22.473,     2.125,   -25.164,   -20.188,     5.699,   -15.323,   -43.594,    12.148
 370,   -22.862,     2.111,   -25.669,   -20.688,     5.661,   -15.769,   -44.513,    12.081
 380,   -23.249,     2.098,   -26.161,   -21.180,     5.637,   -16.178,   -45.432,    12.001
 390,   -23.636,     2.086,   -26.659,   -21.661,     5.603,   -16.604,   -46.349,    11.973
 400,   -24.021,     2.074,   -27.149,   -22.160,     5.580,   -17.025,   -47.240,    11.931
 410,   -24.402,     2.063,   -27.636,   -22.624,     5.550,   -17.433,   -48.119,    11.876
 420,   -24.782,     2.052,   -28.129,   -23.109,     5.529,   -17.860,   -48.998,    11.809
 430,   -25.160,     2.042,   -28.606,   -23.578,     5.501,   -18.254,   -49.877,    11.782
 440,   -25.538,     2.032,   -29.088,   -24.047,     5.481,   -18.664,   -50.756,    11.749
 450,   -25.914,     2.022,   -29.569,   -24.524,     5.456,   -19.069,   -51.636,    11.702
 460,   -26.288,     2.013,   -30.041,   -24.978,     5.437,   -19.463,   -52.515,    11.645
 470,   -26.659,     2.004,   -30.519,   -25.451,     5.414,   -19.875,   -53.377,    11.620
 480,   -27.030,     1.996,   -30.988,   -25.902,     5.397,   -20.257,   -54.223,    11.592
 490,   -27.400,     1.988,   -31.456,   -26.361,     5.375,   -20.654,   -55.070,    11.553
 500,   -27.768,     1.980,   -31.929,   -26.820,     5.359,   -21.047,   -55.918,    11.503
 510,   -28.135,     1.973,   -32.389,   -27.265,     5.339,   -21.429,   -56.767,    11.479
 520,   -28.499,     1.965,   -32.854,   -27.727,     5.324,   -21.829,   -57.617,    11.457
 530,   -28.863,     1.958,   -33.316,   -28.164,     5.305,   -22.201,   -58.467,    11.423
 540,   -29.225,     1.951,   -33.772,   -28.613,     5.291,   -22.587,   -59.299,    11.379
 550,   -29.587,     1.945,   -34.235,   -29.059,     5.273,   -22.970,   -60.120,    11.356
 560,   -29.948,     1.938,   -34.686,   -29.495,     5.260,   -23.342,   -60.943,    11.337
 570,   -30.306,     1.932,   -35.141,   -29.948,     5.244,   -23.730,   -61.766,    11.308
 580,   -30.663,     1.926,   -35.596,   -30.373,     5.231,   -24.095,   -62.591,    11.269
 590,   -31.019,     1.920,   -36.042,   -30.814,     5.216,   -24.471,   -63.416,    11.247
 600,   -31.374,     1.915,   -36.494,   -31.248,     5.203,   -24.846,   -64.243,    11.231
 610,   -31.729,     1.909,   -36.940,   -31.676,     5.189,   -25.209,   -65.048,    11.206
 620,   -32.082,     1.904,   -37.385,   -32.118,     5.177,   -25.587,   -65.848,    11.170
 630,   -32.433,     1.898,   -37.833,   -32.536,     5.164,   -25.946,   -66.650,    11.150
 640,   -32.784,     1.893,   -38.271,   -32.969,     5.153,   -26.313,   -67.454,    11.137
 650,   -33.133,     1.888,   -38.715,   -33.393,     5.140,   -26.682,   -68.259,    11.114
 660,   -33.482,     1.884,   -39.154,   -33.815,     5.129,   -27.037,   -69.064,    11.082
 670,   -33.830,     1.879,   -39.591,   -34.246,     5.118,   -27.406,   -69.868,    11.062
 680,   -34.177,     1.874,   -40.033,   -34.658,     5.107,   -27.760,   -70.651,    11.051
 690,   -34.522,     1.870,   -40.464,   -35.084,     5.096,   -28.119,   -71.434,    11.031
 700,   -34.866,     1.865,   -40.899,   -35.499,     5.086,   -28.482,   -72.220,    11.002
 710,   -35.210,     1.861,   -41.333,   -35.915,     5.075,   -28.830,   -73.006,    10.983
 720,   -35.553,     1.857,   -41.762,   -36.338,     5.066,   -29.191,   -73.794,    10.973
 730,   -35.895,     1.853,   -42.197,   -36.744,     5.056,   -29.541,   -74.583,    10.955
 740,   -36.236,     1.849,   -42.623,   -37.163,     5.047,   -29.892,   -75.361,    10.929
 750,   -36.575,     1.845,   -43.051,   -37.572,     5.037,   -30.251,   -76.129,    10.910
 760,   -36.914,     1.841,   -43.479,   -37.981,     5.028,   -30.593,   -76.899,    10.902
 770,   -37.252,     1.837,   -43.903,   -38.397,     5.019,   -30.946,   -77.670,    10.886
 780,   -37.590,     1.834,   -44.330,   -38.798,     5.010,   -31.293,   -78.442,    10.862
